"MSN","YYYYMM","Value","Column_Order","Description","Unit"
"TXRCBUS","198211","567.522","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198212","822.372","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198213","7146.964","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198301","1126.919","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198302","906.205","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198303","822.105","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198304","658.629","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198305","446.742","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198306","324.786","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198307","280.856","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198308","280.232","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198309","281.535","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198310","357.347","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198311","521.056","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198312","827.164","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198313","6832.271","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198401","1217.642","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198402","944.75","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198403","878.47","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198404","680.173","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198405","479.534","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198406","337.586","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198407","298.467","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198408","298.541","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198409","312.717","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198410","376.911","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198411","556.191","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198412","831.298","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198413","7211.264","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198501","1061.433","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198502","1120.769","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198503","816.543","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198504","598.168","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198505","395.278","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198506","327.17","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198507","301.608","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198508","301.992","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198509","312.758","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198510","404.569","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198511","543.231","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198512","969.107","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198513","7148.629","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198601","1096.939","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198602","959.474","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198603","835.4","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198604","564.726","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198605","423.511","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198606","315.692","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198607","294.348","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198608","294.801","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198609","302.018","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198610","390.975","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198611","564.304","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198612","865.612","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198613","6906.591","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198701","1034.087","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198702","942.036","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198703","830.043","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198704","603.738","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198705","403.212","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198706","313.497","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198707","297.013","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198708","283.891","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198709","306.302","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198710","449.573","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198711","587.143","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198712","874.267","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
"TXRCBUS","198713","6923.82","1","Primary Energy Consumed by the Residential Sector","Trillion Btu"
