"MSN","YYYYMM","Value","Column_Order","Description","Unit"
"CLRCBUS","198807","3.519","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","198808","3.414","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","198809","2.012","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","198810","2.313","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","198811","3.08","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","198812","4.95","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","198813","36.973","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","198901","3.141","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","198902","3.442","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","198903","2.542","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","198904","2.536","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","198905","1.667","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","198906","1.471","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","198907","2.463","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","198908","2.232","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","198909","1.581","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","198910","1.042","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","198911","2.633","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","198912","5.881","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","198913","30.63","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","199001","3.299","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","199002","3.034","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","199003","2.55","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","199004","2.461","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","199005","1.667","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","199006","1.726","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","199007","2.475","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","199008","2.307","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","199009","1.894","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","199010","1.913","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","199011","2.888","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","199012","4.9","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","199013","31.114","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","199101","3.588","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","199102","2.518","1","Coal Consumed by the Residential Sector","Trillion Btu"
"CLRCBUS","199103","2.249","1","Coal Consumed by the Residential Sector","Trillion Btu"
